ADC7,VOLT,ADC6,VOLT,ADC4,VOLT,ADC3,VOLT,ADC2,VOLT,ADC1,VOLT,ADC0,VOLT,,ADC_SHUNT,CURR
692,25420,776,25410,,,,,,,,,,,,6104,9500
678,24950,767,25150,,,,,,,,,,,,5786,9000
664,24530,758,24820,,,,,,,,,,,,5466,8500
650,24010,744,24350,,,,,,,,,,,,5143,8000
636,23520,734,24050,,,,,,,,,,,,4820,7500
623,23010,726,23760,,,,,,,,,,,,4501,7000
608,22490,715,23390,,,,,,,,,,,,4179,6500
594,22030,706,23110,,,,,,,,,,,,3855,6000
579,21500,698,22830,,,,,,,,,,,,3534,5500
566,21040,688,22500,,,,,,,,,,,,3207,5000
551,20510,675,22060,,,,,,,,,,,,2889,4500
537,19990,669,21850,,,,,,,,,,,,2564,4000
523,19500,654,21380,,,,,,,,,,,,2243,3500
511,19050,641,20950,,,,,,,,,,,,1919,3000
496,18500,633,20670,,,,,,,,,,,,1593,2500
484,18050,608,19880,,,,,,,,,,,,1265,2000
471,17560,599,19570,,,,,,,,,,,,934,1500
455,16960,582,19010,,,,,,,,,,,,595,1000
444,16520,567,18530,,,,,,,,,,,,279,500
427,15990,551,18010,,,,,,,,,,,,,
,,,,,,,,,,,,,,,m,1.5452
,,,,,,,,,,,,,,,c,49.307
m,35.869,,33,,,,,,,,,,,,,
c,689.33,,-196.14,,,,,,,,,,,,,
